,Wolves,Sheep,Grass
0,9,75,213
1,14,83,180
2,18,88,154
3,17,94,140
4,15,98,127
5,17,99,117
6,14,104,108
7,15,107,102
8,21,110,92
9,10,115,89
10,8,126,80
11,2,128,72
12,2,139,64
13,4,138,49
14,7,138,49
15,14,131,46
16,16,124,42
17,14,123,40
18,15,118,48
19,10,113,43
20,8,110,38
21,15,106,34
22,20,88,33
23,25,80,34
24,29,73,33
25,9,73,32
26,10,77,29
27,6,74,29
28,7,74,30
29,10,63,28
30,4,57,30
31,5,50,33
32,8,43,36
33,1,47,36
34,0,48,35
35,0,47,40
36,0,49,45
37,0,48,45
38,0,46,44
39,0,45,42
40,0,44,48
41,0,44,43
42,0,46,80
43,0,44,102
44,0,41,118
45,0,43,126
46,0,43,130
47,0,38,134
48,0,39,142
49,0,42,142
50,0,43,141
51,0,46,147
52,0,54,157
53,0,58,151
54,0,62,162
55,0,67,149
56,0,69,137
57,0,76,127
58,0,84,120
59,0,93,113
60,0,102,108
61,0,108,96
62,0,119,96
63,0,115,86
64,0,118,77
65,0,125,65
66,0,125,57
67,0,127,51
68,0,130,44
69,0,143,37
70,0,129,39
71,0,119,36
72,0,108,31
73,0,108,28
74,0,102,25
75,0,96,25
76,0,102,24
77,0,98,23
78,0,90,25
79,0,86,27
80,0,95,29
81,0,90,24
82,0,92,29
83,0,91,24
84,0,97,31
85,0,94,31
86,0,89,36
87,0,80,37
88,0,75,44
89,0,78,45
90,0,82,48
91,0,82,55
92,0,79,58
93,0,75,57
94,0,72,68
95,0,68,69
96,0,65,76
97,0,62,86
98,0,69,93
99,0,77,93
100,0,72,94
101,0,70,91
102,0,75,95
103,0,72,93
104,0,78,100
105,0,79,99
106,0,83,105
107,0,79,104
108,0,86,105
109,0,90,103
110,0,95,101
111,0,98,92
112,0,105,86
113,0,104,76
114,0,103,65
115,0,107,61
116,0,104,56
117,0,106,51
118,0,111,45
119,0,120,39
120,0,125,35
121,0,130,33
122,0,134,33
123,0,122,34
124,0,109,36
125,0,106,35
126,0,85,37
127,0,82,32
128,0,81,36
129,0,85,37
130,0,76,36
131,0,65,42
132,0,66,44
133,0,66,44
134,0,59,46
135,0,53,47
136,0,54,52
137,0,52,58
138,0,61,60
139,0,60,66
140,0,62,74
141,0,64,78
142,0,67,85
143,0,60,89
144,0,62,91
145,0,63,87
146,0,65,94
147,0,66,95
148,0,67,98
149,0,59,102
150,0,60,107
151,0,62,110
152,0,70,114
153,0,78,117
154,0,75,119
155,0,77,119
156,0,79,118
157,0,79,113
158,0,86,107
159,0,93,101
160,0,96,95
161,0,98,87
162,0,99,80
163,0,108,79
164,0,110,67
165,0,114,61
166,0,118,55
167,0,120,49
168,0,122,45
169,0,122,39
170,0,115,39
171,0,115,36
172,0,106,34
173,0,109,31
174,0,107,33
175,0,103,29
176,0,95,24
177,0,85,24
178,0,84,23
179,0,93,27
180,0,90,30
181,0,91,33
182,0,83,29
183,0,75,34
184,0,62,42
185,0,62,49
186,0,60,54
187,0,59,54
188,0,57,57
189,0,60,60
190,0,65,65
191,0,64,68
192,0,64,70
193,0,64,72
194,0,64,74
195,0,56,78
196,0,58,87
197,0,58,88
198,0,56,89
199,0,62,94
200,0,68,100
201,0,69,102
202,0,66,102
203,0,70,103
204,0,75,100
205,0,84,102
206,0,86,95
207,0,93,91
208,0,104,91
209,0,109,93
210,0,114,91
211,0,113,82
212,0,112,77
213,0,117,65
214,0,123,56
215,0,124,52
216,0,125,52
217,0,136,48
218,0,124,40
219,0,119,39
220,0,120,35
221,0,119,35
222,0,113,30
223,0,114,32
224,0,102,27
225,0,101,24
226,0,105,18
227,0,102,19
228,0,91,21
229,0,90,22
230,0,84,25
231,0,87,27
232,0,88,29
233,0,86,33
234,0,88,39
235,0,83,48
236,0,88,53
237,0,80,49
238,0,79,48
239,0,74,50
240,0,62,51
241,0,58,57
242,0,61,65
243,0,61,75
244,0,56,76
245,0,52,79
246,0,51,83
247,0,50,91
248,0,53,100
249,0,51,99
250,0,54,99
251,0,54,101
252,0,56,104
253,0,60,108
254,0,58,118
255,0,60,124
256,0,62,122
257,0,65,117
258,0,72,112
259,0,86,109
260,0,87,100
261,0,84,97
262,0,86,91
263,0,87,88
264,0,95,82
265,0,106,76
266,0,121,73
267,0,121,69
268,0,122,62
269,0,117,61
270,0,114,57
271,0,120,48
272,0,116,43
273,0,120,41
274,0,120,40
275,0,117,32
276,0,113,25
277,0,115,24
278,0,111,28
279,0,106,35
280,0,104,42
281,0,104,43
282,0,94,41
283,0,85,41
284,0,88,38
285,0,78,41
286,0,72,45
287,0,77,47
288,0,82,48
289,0,79,41
290,0,81,42
291,0,76,45
292,0,78,52
293,0,82,53
294,0,87,55
295,0,93,55
296,0,99,57
297,0,87,59
298,0,89,66
299,0,80,75
300,0,74,79
