,Wolves,Sheep,Grass
0,47,8,216
1,77,10,220
2,120,16,224
3,88,21,221
4,26,26,220
5,18,37,219
6,15,46,217
7,13,58,212
8,17,60,205
9,20,66,197
10,20,76,195
11,22,81,188
12,35,90,177
13,24,87,159
14,20,101,144
15,30,117,135
16,17,136,117
17,26,163,99
18,14,189,86
19,9,214,66
20,17,215,53
21,23,241,44
22,26,229,36
23,34,221,30
24,32,206,28
25,51,155,29
26,32,126,24
27,44,114,26
28,40,75,28
29,50,62,34
30,38,43,38
31,17,32,46
32,25,25,61
33,22,26,72
34,6,27,77
35,2,30,80
36,4,32,88
37,4,43,99
38,7,42,112
39,8,50,125
40,14,52,131
41,13,45,148
42,19,54,158
43,17,68,171
44,24,79,184
45,25,97,190
46,20,106,186
47,22,123,186
48,16,150,172
49,13,148,155
50,15,165,130
51,27,193,106
52,26,236,78
53,27,243,58
54,29,248,41
55,28,258,37
56,30,224,30
57,43,196,23
58,35,155,20
59,39,121,24
60,27,101,27
61,26,66,31
62,8,45,31
63,2,39,36
64,3,35,39
65,2,37,42
66,0,31,48
67,0,42,56
68,0,55,56
69,0,52,59
70,0,65,71
71,0,55,79
72,0,65,90
73,0,72,107
74,0,89,120
75,0,100,129
76,0,120,139
77,0,146,144
78,0,166,138
79,0,201,124
80,0,233,102
81,0,232,82
82,0,265,62
83,0,295,47
84,0,271,34
85,0,254,28
86,0,232,23
87,0,196,22
88,0,155,21
89,0,136,22
90,0,102,26
91,0,59,29
92,0,52,30
93,0,35,35
94,0,37,43
95,0,36,44
96,0,39,54
97,0,27,56
98,0,22,64
99,0,22,77
100,0,21,93
101,0,25,110
102,0,27,130
103,0,35,156
104,0,40,181
105,0,43,199
106,0,44,215
107,0,52,236
108,0,67,238
109,0,89,241
110,0,111,235
111,0,120,224
112,0,132,211
113,0,153,199
114,0,150,182
115,0,177,162
116,0,192,134
117,0,192,111
118,0,208,92
119,0,242,73
120,0,248,56
121,0,235,32
122,0,235,21
123,0,211,20
124,0,198,16
125,0,173,18
126,0,132,20
127,0,103,25
128,0,92,27
129,0,66,32
130,0,37,44
131,0,25,55
132,0,10,62
133,0,12,81
134,0,12,92
135,0,16,102
136,0,13,117
137,0,16,131
138,0,21,145
139,0,23,164
140,0,35,178
141,0,43,197
142,0,52,213
143,0,65,222
144,0,74,233
145,0,86,239
146,0,116,246
147,0,133,233
148,0,150,205
149,0,167,182
150,0,192,149
151,0,228,122
152,0,248,91
153,0,286,64
154,0,283,43
155,0,286,24
156,0,264,15
157,0,263,11
158,0,222,10
159,0,179,11
160,0,154,15
161,0,95,18
162,0,60,24
163,0,30,25
164,0,16,26
165,0,10,35
166,0,8,43
167,0,5,51
168,0,6,62
169,0,8,70
170,0,11,82
171,0,16,100
172,0,23,123
173,0,25,151
174,0,38,176
175,0,46,202
176,0,62,218
177,0,66,233
178,0,71,245
179,0,92,246
180,0,101,243
181,0,119,231
182,0,150,205
183,0,177,178
184,0,187,149
185,0,226,117
186,0,229,87
187,0,262,58
188,0,267,40
189,0,292,25
190,0,302,16
191,0,271,13
192,0,208,8
193,0,162,6
194,0,110,8
195,0,95,8
196,0,85,8
197,0,76,8
198,0,71,11
199,0,39,15
200,0,19,24
201,0,16,36
202,0,16,51
203,0,19,60
204,0,25,79
205,0,31,96
206,0,34,109
207,0,35,130
208,0,43,148
209,0,55,168
210,0,74,194
211,0,82,215
212,0,92,229
213,0,103,230
214,0,123,228
215,0,141,210
216,0,157,192
217,0,154,168
218,0,202,148
219,0,219,118
220,0,247,93
221,0,258,71
222,0,259,54
223,0,237,34
224,0,223,19
225,0,218,16
226,0,194,9
227,0,175,9
228,0,176,12
229,0,111,12
230,0,80,13
231,0,76,20
232,0,60,25
233,0,52,31
234,0,46,29
235,0,46,32
236,0,51,37
237,0,63,48
238,0,64,56
239,0,77,63
240,0,75,81
241,0,65,92
242,0,78,106
243,0,85,122
244,0,94,133
245,0,106,144
246,0,120,148
247,0,123,142
248,0,154,142
249,0,166,134
250,0,210,108
251,0,221,87
252,0,211,66
253,0,251,48
254,0,228,43
255,0,208,35
256,0,215,26
257,0,209,24
258,0,168,24
259,0,148,29
260,0,121,25
261,0,83,26
262,0,81,22
263,0,77,26
264,0,70,34
265,0,71,34
266,0,52,38
267,0,54,47
268,0,70,48
269,0,77,62
270,0,66,69
271,0,73,79
272,0,85,98
273,0,79,105
274,0,85,116
275,0,104,131
276,0,123,133
277,0,131,132
278,0,150,124
279,0,181,109
280,0,204,93
281,0,241,77
282,0,251,59
283,0,252,39
284,0,230,34
285,0,232,31
286,0,212,31
287,0,185,36
288,0,141,35
289,0,110,37
290,0,102,41
291,0,82,40
292,0,67,38
293,0,50,37
294,0,56,41
295,0,60,43
296,0,66,44
297,0,67,46
298,0,72,52
299,0,66,61
300,0,62,73
