,Wolves,Sheep,Grass
0,17,96,200
1,21,111,179
2,25,131,166
3,30,110,164
4,36,78,161
5,36,53,158
6,41,42,161
7,46,25,175
8,49,20,185
9,50,16,203
10,52,18,237
11,48,27,265
12,35,18,284
13,35,15,308
14,34,18,321
15,23,21,322
16,18,28,318
17,8,32,309
18,6,36,299
19,4,38,293
20,2,43,289
21,2,41,282
22,3,49,269
23,1,47,258
24,2,46,256
25,2,39,250
26,4,49,246
27,5,49,239
28,2,54,234
29,2,58,222
30,2,57,217
31,2,58,215
32,2,47,215
33,2,52,204
34,0,63,205
35,0,61,204
36,0,43,212
37,0,49,214
38,0,40,218
39,0,38,224
40,0,39,229
41,0,44,230
42,0,46,236
43,0,50,244
44,0,32,249
45,0,23,255
46,0,23,263
47,0,33,268
48,0,35,275
49,0,40,281
50,0,31,282
51,0,28,291
52,0,24,289
53,0,21,294
54,0,23,292
55,0,33,286
56,0,35,282
57,0,40,276
58,0,55,269
59,0,56,264
60,0,54,257
61,0,43,249
62,0,42,239
63,0,48,231
64,0,57,223
65,0,57,218
66,0,54,212
67,0,50,208
68,0,42,218
69,0,32,223
70,0,35,232
71,0,34,234
72,0,36,237
73,0,44,242
74,0,58,242
75,0,61,233
76,0,67,236
77,0,61,220
78,0,62,208
79,0,60,202
80,0,50,207
81,0,33,213
82,0,21,219
83,0,21,235
84,0,18,257
85,0,23,267
86,0,15,288
87,0,18,306
88,0,20,316
89,0,20,322
90,0,16,324
91,0,25,325
92,0,24,325
93,0,20,328
94,0,16,328
95,0,22,326
96,0,21,324
97,0,23,322
98,0,26,320
99,0,21,320
100,0,18,322
101,0,21,319
102,0,24,317
103,0,26,314
104,0,35,313
105,0,32,307
106,0,30,305
107,0,32,300
108,0,38,291
109,0,46,280
110,0,48,274
111,0,52,257
112,0,49,247
113,0,52,232
114,0,59,222
115,0,71,213
116,0,58,207
117,0,55,205
118,0,50,204
119,0,46,204
120,0,44,215
121,0,50,220
122,0,35,231
123,0,40,236
124,0,49,244
125,0,39,249
126,0,33,255
127,0,34,263
128,0,35,266
129,0,35,271
130,0,29,274
131,0,30,272
132,0,36,280
133,0,33,281
134,0,36,280
135,0,38,276
136,0,45,269
137,0,43,265
138,0,38,257
139,0,40,258
140,0,37,258
141,0,35,257
142,0,33,253
143,0,33,257
144,0,26,259
145,0,29,265
146,0,29,271
147,0,32,276
148,0,31,277
149,0,28,280
150,0,29,278
151,0,37,283
152,0,44,276
153,0,44,276
154,0,40,272
155,0,42,268
156,0,35,271
157,0,36,265
158,0,34,269
159,0,33,267
160,0,36,261
161,0,45,268
162,0,35,268
163,0,36,267
164,0,45,269
165,0,37,263
166,0,37,264
167,0,41,254
168,0,48,252
169,0,43,254
170,0,44,249
171,0,45,246
172,0,38,246
173,0,46,232
174,0,58,226
175,0,60,222
176,0,54,221
177,0,42,218
178,0,45,220
179,0,42,224
180,0,37,225
181,0,36,237
182,0,26,254
183,0,26,267
184,0,16,283
185,0,7,298
186,0,9,314
187,0,10,326
188,0,9,335
189,0,12,349
190,0,14,350
191,0,14,355
192,0,15,358
193,0,10,359
194,0,12,359
195,0,11,358
196,0,10,353
197,0,15,351
198,0,14,349
199,0,12,350
200,0,16,349
201,0,21,347
202,0,19,343
203,0,16,340
204,0,19,339
205,0,22,338
206,0,21,337
207,0,20,333
208,0,18,328
209,0,21,327
210,0,19,329
211,0,19,329
212,0,12,332
213,0,12,332
214,0,10,336
215,0,13,336
216,0,15,340
217,0,18,337
218,0,16,337
219,0,14,333
220,0,26,332
221,0,28,327
222,0,37,324
223,0,38,312
224,0,33,302
225,0,32,294
226,0,41,290
227,0,32,285
228,0,34,278
229,0,34,270
230,0,50,262
231,0,46,254
232,0,47,252
233,0,45,246
234,0,54,238
235,0,50,238
236,0,49,231
237,0,54,229
238,0,44,224
239,0,43,226
240,0,46,223
241,0,63,213
242,0,71,214
243,0,63,213
244,0,51,207
245,0,37,211
246,0,39,213
247,0,39,222
248,0,32,226
249,0,27,240
250,0,19,261
251,0,16,274
252,0,20,288
253,0,24,302
254,0,27,308
255,0,31,309
256,0,38,307
257,0,40,301
258,0,41,293
259,0,32,284
260,0,32,274
261,0,34,269
262,0,32,264
263,0,36,264
264,0,39,262
265,0,38,262
266,0,41,264
267,0,43,264
268,0,35,264
269,0,36,272
270,0,33,275
271,0,26,279
272,0,33,276
273,0,34,277
274,0,35,275
275,0,35,274
276,0,38,273
277,0,41,271
278,0,41,263
279,0,50,255
280,0,40,246
281,0,37,240
282,0,42,241
283,0,37,242
284,0,35,248
285,0,31,248
286,0,32,250
287,0,38,252
288,0,48,260
289,0,36,258
290,0,38,264
291,0,40,261
292,0,38,266
293,0,45,258
294,0,39,259
295,0,41,255
296,0,36,257
297,0,31,255
298,0,30,262
299,0,35,266
300,0,30,274
