,Wolves,Sheep,Grass
0,17,23,195
1,30,21,192
2,55,19,188
3,101,20,188
4,161,20,188
5,229,16,193
6,285,12,194
7,268,10,195
8,218,11,199
9,191,10,207
10,182,8,213
11,167,6,215
12,126,6,220
13,114,6,226
14,67,5,236
15,62,5,240
16,68,4,244
17,52,4,247
18,41,4,249
19,46,3,255
20,26,3,264
21,34,2,273
22,41,2,275
23,41,2,278
24,33,1,279
25,32,2,283
26,27,2,291
27,42,2,301
28,33,2,305
29,19,2,311
30,4,2,316
31,0,2,322
32,0,2,330
33,0,3,341
34,0,4,346
35,0,4,352
36,0,4,356
37,0,4,360
38,0,4,361
39,0,4,362
40,0,4,362
41,0,4,363
42,0,5,366
43,0,5,367
44,0,5,368
45,0,5,367
46,0,5,366
47,0,5,365
48,0,5,364
49,0,5,363
50,0,5,359
51,0,6,355
52,0,6,351
53,0,6,348
54,0,7,344
55,0,8,339
56,0,8,334
57,0,8,329
58,0,8,325
59,0,8,319
60,0,8,318
61,0,9,315
62,0,10,314
63,0,10,312
64,0,10,309
65,0,10,308
66,0,10,305
67,0,11,303
68,0,12,301
69,0,13,296
70,0,13,292
71,0,13,290
72,0,14,288
73,0,15,283
74,0,15,279
75,0,16,274
76,0,18,271
77,0,16,268
78,0,15,267
79,0,15,265
80,0,15,264
81,0,15,262
82,0,15,260
83,0,15,258
84,0,16,257
85,0,16,257
86,0,16,259
87,0,17,261
88,0,18,258
89,0,21,256
90,0,22,256
91,0,22,252
92,0,23,248
93,0,27,246
94,0,28,242
95,0,29,242
96,0,29,232
97,0,31,229
98,0,33,222
99,0,34,217
100,0,35,214
101,0,35,211
102,0,36,207
103,0,38,201
104,0,39,197
105,0,39,193
106,0,38,188
107,0,38,186
108,0,39,187
109,0,43,182
110,0,45,178
111,0,49,167
112,0,54,163
113,0,54,156
114,0,56,153
115,0,56,142
116,0,56,137
117,0,57,128
118,0,62,124
119,0,65,117
120,0,64,113
121,0,65,110
122,0,65,106
123,0,66,103
124,0,68,98
125,0,68,98
126,0,68,94
127,0,70,95
128,0,72,92
129,0,70,94
130,0,72,95
131,0,73,92
132,0,74,88
133,0,75,81
134,0,79,82
135,0,77,79
136,0,78,78
137,0,79,82
138,0,80,79
139,0,81,75
140,0,78,77
141,0,78,76
142,0,74,81
143,0,77,81
144,0,73,80
145,0,70,77
146,0,75,82
147,0,72,76
148,0,67,83
149,0,66,81
150,0,73,87
151,0,72,87
152,0,73,88
153,0,74,96
154,0,75,98
155,0,73,91
156,0,73,85
157,0,71,81
158,0,71,86
159,0,73,86
160,0,70,84
161,0,67,83
162,0,70,88
163,0,62,86
164,0,65,93
165,0,68,85
166,0,69,92
167,0,67,94
168,0,69,89
169,0,67,89
170,0,64,89
171,0,63,89
172,0,63,92
173,0,63,93
174,0,66,97
175,0,64,106
176,0,63,109
177,0,67,104
178,0,67,104
179,0,64,101
180,0,62,103
181,0,64,105
182,0,63,106
183,0,64,104
184,0,60,99
185,0,61,102
186,0,58,109
187,0,58,113
188,0,55,115
189,0,59,110
190,0,57,115
191,0,58,117
192,0,58,114
193,0,61,111
194,0,61,117
195,0,58,118
196,0,57,124
197,0,55,124
198,0,53,121
199,0,55,125
200,0,56,121
201,0,54,119
202,0,56,116
203,0,59,110
204,0,61,110
205,0,62,107
206,0,66,97
207,0,60,92
208,0,60,101
209,0,62,104
210,0,60,103
211,0,57,104
212,0,54,103
213,0,54,101
214,0,57,104
215,0,53,98
216,0,56,94
217,0,52,94
218,0,53,95
219,0,57,101
220,0,58,102
221,0,64,100
222,0,64,104
223,0,63,107
224,0,59,110
225,0,63,109
226,0,61,107
227,0,62,106
228,0,61,102
229,0,58,102
230,0,60,100
231,0,58,104
232,0,55,104
233,0,58,100
234,0,62,100
235,0,61,101
236,0,62,102
237,0,60,111
238,0,58,116
239,0,61,107
240,0,61,104
241,0,63,103
242,0,66,103
243,0,66,99
244,0,68,99
245,0,68,96
246,0,72,97
247,0,68,97
248,0,66,100
249,0,69,98
250,0,70,91
251,0,72,86
252,0,72,82
253,0,68,77
254,0,67,80
255,0,64,81
256,0,70,82
257,0,69,85
258,0,69,91
259,0,65,92
260,0,64,97
261,0,65,99
262,0,66,100
263,0,59,102
264,0,53,104
265,0,50,108
266,0,51,106
267,0,53,102
268,0,51,101
269,0,50,97
270,0,51,106
271,0,53,111
272,0,55,106
273,0,56,109
274,0,55,117
275,0,57,116
276,0,51,116
277,0,49,115
278,0,50,114
279,0,47,111
280,0,51,116
281,0,54,120
282,0,52,119
283,0,52,119
284,0,50,118
285,0,53,115
286,0,52,109
287,0,56,105
288,0,59,99
289,0,57,95
290,0,58,97
291,0,59,94
292,0,62,93
293,0,64,91
294,0,66,86
295,0,69,86
296,0,64,87
297,0,64,88
298,0,61,91
299,0,61,91
300,0,61,93
