,Wolves,Sheep,Grass
0,16,58,199
1,31,56,368
2,54,58,355
3,97,54,355
4,127,44,358
5,121,42,363
6,141,36,368
7,192,36,372
8,112,33,377
9,124,32,370
10,65,32,375
11,62,32,375
12,79,32,377
13,57,29,376
14,49,27,381
15,49,27,379
16,52,24,382
17,62,20,382
18,36,19,386
19,68,17,386
20,67,15,388
21,62,15,388
22,63,14,388
23,80,15,390
24,43,14,385
25,28,13,388
26,25,13,387
27,27,13,388
28,19,12,389
29,30,14,389
30,12,13,388
31,14,13,389
32,8,13,391
33,15,13,388
34,0,13,389
35,0,14,387
36,0,15,387
37,0,16,388
38,0,17,387
39,0,18,388
40,0,18,385
41,0,19,386
42,0,20,385
43,0,20,383
44,0,21,384
45,0,21,381
46,0,21,383
47,0,21,380
48,0,22,382
49,0,22,381
50,0,23,380
51,0,23,380
52,0,23,379
53,0,24,383
54,0,24,381
55,0,25,379
56,0,25,378
57,0,26,379
58,0,26,383
59,0,26,378
60,0,27,384
61,0,28,377
62,0,28,377
63,0,28,376
64,0,28,376
65,0,29,377
66,0,30,373
67,0,30,375
68,0,31,372
69,0,31,374
70,0,31,377
71,0,31,373
72,0,31,375
73,0,34,377
74,0,35,369
75,0,36,371
76,0,36,372
77,0,36,370
78,0,39,372
79,0,41,371
80,0,45,366
81,0,46,363
82,0,46,361
83,0,47,364
84,0,50,360
85,0,51,361
86,0,52,360
87,0,54,358
88,0,55,353
89,0,60,358
90,0,61,350
91,0,61,357
92,0,61,356
93,0,64,354
94,0,64,356
95,0,64,352
96,0,64,350
97,0,68,351
98,0,69,345
99,0,70,351
100,0,71,351
101,0,72,348
102,0,73,347
103,0,74,347
104,0,77,347
105,0,77,348
106,0,81,342
107,0,83,341
108,0,86,336
109,0,90,347
110,0,91,336
111,0,93,335
112,0,97,338
113,0,98,332
114,0,100,325
115,0,102,339
116,0,107,329
117,0,110,329
118,0,117,329
119,0,119,322
120,0,123,325
121,0,127,322
122,0,128,312
123,0,130,324
124,0,141,312
125,0,146,315
126,0,148,307
127,0,154,310
128,0,160,313
129,0,164,306
130,0,169,304
131,0,172,293
132,0,178,301
133,0,185,291
134,0,193,312
135,0,198,293
136,0,207,297
137,0,219,293
138,0,227,287
139,0,231,275
140,0,235,289
141,0,245,275
142,0,253,277
143,0,261,273
144,0,268,271
145,0,274,268
146,0,283,268
147,0,290,267
148,0,298,266
149,0,307,277
150,0,318,259
151,0,329,266
152,0,340,246
153,0,356,272
154,0,364,246
155,0,375,255
156,0,388,241
157,0,397,258
158,0,410,249
159,0,419,237
160,0,430,249
161,0,443,241
162,0,457,243
163,0,471,243
164,0,483,239
165,0,502,236
166,0,515,239
167,0,535,230
168,0,547,233
169,0,559,231
170,0,576,225
171,0,589,234
172,0,606,226
173,0,628,224
174,0,647,229
175,0,665,220
176,0,678,225
177,0,686,221
178,0,705,215
179,0,725,222
180,0,739,223
181,0,762,212
182,0,785,229
183,0,806,210
184,0,835,221
185,0,854,210
186,0,876,214
187,0,894,214
188,0,917,201
189,0,941,222
190,0,968,197
191,0,993,218
192,0,1022,203
193,0,1044,220
194,0,1069,199
195,0,1097,217
196,0,1127,196
197,0,1143,217
198,0,1167,198
199,0,1191,217
200,0,1218,192
201,0,1248,221
202,0,1286,188
203,0,1309,218
204,0,1341,189
205,0,1362,220
206,0,1395,186
207,0,1430,219
208,0,1461,184
209,0,1492,219
210,0,1528,189
211,0,1563,216
212,0,1589,190
213,0,1625,214
214,0,1661,189
215,0,1701,216
216,0,1741,188
217,0,1775,214
218,0,1811,187
219,0,1846,213
220,0,1884,189
221,0,1914,212
222,0,1933,189
223,0,1992,212
224,0,2016,189
225,0,2051,212
226,0,2095,189
227,0,2131,212
228,0,2163,188
229,0,2192,212
230,0,2202,189
231,0,2208,211
232,0,2212,189
233,0,2242,212
234,0,2279,188
235,0,2289,214
236,0,2314,189
237,0,2340,211
238,0,2369,189
239,0,2390,212
240,0,2403,189
241,0,2440,211
242,0,2426,189
243,0,2420,211
244,0,2436,191
245,0,2426,210
246,0,2403,190
247,0,2395,210
248,0,2398,191
249,0,2401,209
250,0,2416,192
251,0,2423,208
252,0,2410,192
253,0,2396,208
254,0,2357,193
255,0,2348,208
256,0,2335,193
257,0,2343,209
258,0,2317,191
259,0,2313,209
260,0,2315,191
261,0,2290,210
262,0,2276,191
263,0,2282,209
264,0,2264,191
265,0,2261,210
266,0,2249,190
267,0,2243,210
268,0,2226,190
269,0,2206,210
270,0,2200,192
271,0,2179,209
272,0,2167,193
273,0,2158,208
274,0,2145,192
275,0,2108,208
276,0,2084,193
277,0,2068,207
278,0,2053,195
279,0,2023,207
280,0,1997,195
281,0,1996,205
282,0,2007,195
283,0,1981,205
284,0,1968,197
285,0,1942,205
286,0,1930,197
287,0,1922,205
288,0,1928,197
289,0,1931,205
290,0,1923,196
291,0,1913,208
292,0,1912,193
293,0,1912,208
294,0,1906,193
295,0,1908,208
296,0,1891,196
297,0,1893,207
298,0,1884,194
299,0,1864,209
300,0,1839,193
