,Wolves,Sheep,Grass
0,42,50,199
1,45,57,181
2,11,59,167
3,2,65,159
4,2,65,144
5,0,61,138
6,0,53,135
7,0,55,125
8,0,57,119
9,0,59,114
10,0,48,113
11,0,49,107
12,0,45,112
13,0,32,106
14,0,36,109
15,0,33,110
16,0,34,115
17,0,24,113
18,0,22,119
19,0,20,120
20,0,17,126
21,0,19,132
22,0,19,131
23,0,16,135
24,0,13,142
25,0,10,148
26,0,13,169
27,0,17,186
28,0,22,197
29,0,14,215
30,0,16,219
31,0,11,226
32,0,14,244
33,0,13,253
34,0,17,261
35,0,16,263
36,0,20,267
37,0,19,269
38,0,21,271
39,0,20,271
40,0,29,268
41,0,38,259
42,0,50,255
43,0,52,248
44,0,46,239
45,0,41,230
46,0,41,222
47,0,39,217
48,0,40,215
49,0,40,209
50,0,33,201
51,0,35,193
52,0,40,187
53,0,43,180
54,0,47,169
55,0,44,156
56,0,48,145
57,0,52,130
58,0,60,118
59,0,62,116
60,0,45,111
61,0,36,109
62,0,38,110
63,0,27,112
64,0,33,111
65,0,30,115
66,0,26,122
67,0,24,127
68,0,21,133
69,0,17,145
70,0,17,156
71,0,15,162
72,0,15,170
73,0,11,174
74,0,13,180
75,0,15,187
76,0,19,191
77,0,22,192
78,0,28,190
79,0,36,189
80,0,49,193
81,0,45,197
82,0,46,201
83,0,48,206
84,0,48,205
85,0,42,203
86,0,44,201
87,0,36,199
88,0,36,191
89,0,44,190
90,0,41,186
91,0,41,179
92,0,45,174
93,0,40,163
94,0,40,153
95,0,46,145
96,0,43,132
97,0,48,123
98,0,50,119
99,0,49,112
100,0,47,107
101,0,41,109
102,0,28,111
103,0,21,118
104,0,23,128
105,0,11,139
106,0,14,146
107,0,14,153
108,0,15,160
109,0,19,165
110,0,24,170
111,0,24,175
112,0,22,175
113,0,16,186
114,0,19,188
115,0,24,194
116,0,18,204
117,0,18,210
118,0,20,223
119,0,26,228
120,0,24,235
121,0,18,243
122,0,22,249
123,0,25,252
124,0,26,253
125,0,27,254
126,0,27,253
127,0,21,252
128,0,18,253
129,0,18,252
130,0,16,255
131,0,17,258
132,0,16,261
133,0,13,260
134,0,13,261
135,0,15,265
136,0,13,265
137,0,20,267
138,0,19,267
139,0,18,271
140,0,15,269
141,0,15,266
142,0,19,265
143,0,22,262
144,0,27,262
145,0,26,256
146,0,30,252
147,0,32,250
148,0,35,247
149,0,26,247
150,0,31,242
151,0,35,241
152,0,46,230
153,0,51,219
154,0,54,207
155,0,54,190
156,0,50,183
157,0,55,168
158,0,66,158
159,0,69,134
160,0,71,124
161,0,53,115
162,0,59,113
163,0,50,108
164,0,39,102
165,0,37,97
166,0,37,94
167,0,32,97
168,0,34,99
169,0,13,99
170,0,17,108
171,0,11,118
172,0,11,122
173,0,9,129
174,0,8,134
175,0,12,143
176,0,15,146
177,0,15,159
178,0,20,165
179,0,23,175
180,0,28,186
181,0,29,189
182,0,28,195
183,0,33,203
184,0,29,220
185,0,34,221
186,0,34,222
187,0,41,212
188,0,43,208
189,0,50,210
190,0,45,208
191,0,50,201
192,0,48,189
193,0,55,181
194,0,40,181
195,0,48,169
196,0,53,158
197,0,58,150
198,0,41,138
199,0,37,133
200,0,48,126
201,0,48,118
202,0,41,115
203,0,38,118
204,0,21,120
205,0,23,124
206,0,19,129
207,0,16,138
208,0,18,139
209,0,15,144
210,0,17,152
211,0,18,159
212,0,17,174
213,0,11,188
214,0,6,194
215,0,6,206
216,0,3,221
217,0,1,236
218,0,1,248
219,0,1,256
220,0,2,269
221,0,4,281
222,0,7,290
223,0,7,301
224,0,9,309
225,0,10,315
226,0,14,325
227,0,11,328
228,0,13,334
229,0,11,335
230,0,11,336
231,0,14,333
232,0,16,333
233,0,18,333
234,0,16,332
235,0,17,329
236,0,16,329
237,0,21,326
238,0,29,315
239,0,33,303
240,0,37,292
241,0,32,286
242,0,42,273
243,0,42,257
244,0,47,241
245,0,58,223
246,0,52,206
247,0,64,193
248,0,64,182
249,0,49,173
250,0,45,168
251,0,44,158
252,0,36,151
253,0,43,139
254,0,47,130
255,0,54,120
256,0,62,106
257,0,56,95
258,0,55,89
259,0,45,86
260,0,46,83
261,0,34,86
262,0,33,85
263,0,23,89
264,0,22,100
265,0,21,108
266,0,20,111
267,0,14,121
268,0,13,134
269,0,9,148
270,0,11,163
271,0,10,179
272,0,10,192
273,0,12,204
274,0,8,212
275,0,11,219
276,0,8,230
277,0,10,239
278,0,12,246
279,0,16,252
280,0,16,259
281,0,24,269
282,0,25,275
283,0,29,271
284,0,37,271
285,0,48,271
286,0,52,256
287,0,57,249
288,0,57,241
289,0,58,223
290,0,57,217
291,0,55,206
292,0,57,197
293,0,47,185
294,0,42,176
295,0,44,167
296,0,43,159
297,0,40,149
298,0,42,143
299,0,35,137
300,0,41,130
