,Wolves,Sheep,Grass
0,42,64,205
1,45,79,191
2,47,101,173
3,48,121,150
4,45,153,144
5,41,179,118
6,44,195,102
7,41,223,91
8,46,243,87
9,49,247,83
10,51,246,72
11,55,222,69
12,55,201,72
13,59,184,84
14,55,167,92
15,52,165,108
16,54,166,99
17,47,155,112
18,41,166,120
19,39,178,119
20,37,195,119
21,39,198,111
22,38,229,106
23,37,208,100
24,36,216,80
25,40,215,76
26,42,200,78
27,43,209,84
28,42,201,93
29,43,190,88
30,42,175,91
31,43,179,92
32,47,194,88
33,47,197,101
34,44,196,111
35,41,230,104
36,37,231,104
37,34,250,98
38,35,256,85
39,37,251,69
40,38,244,75
41,39,228,78
42,43,225,68
43,47,208,77
44,45,223,85
45,46,217,69
46,54,216,77
47,54,201,84
48,54,170,88
49,54,175,102
50,53,185,114
51,54,189,113
52,50,192,98
53,51,193,101
54,50,187,111
55,51,187,104
56,56,193,94
57,53,170,107
58,55,167,93
59,56,171,93
60,55,189,106
61,56,210,89
62,56,196,84
63,53,175,92
64,51,175,100
65,46,195,99
66,47,187,96
67,50,179,93
68,51,191,96
69,51,217,97
70,52,188,99
71,49,191,97
72,45,194,92
73,47,203,98
74,44,192,96
75,46,191,84
76,51,209,81
77,52,210,79
78,50,220,77
79,49,228,87
80,44,222,84
81,48,213,77
82,48,214,68
83,47,219,75
84,52,189,77
85,55,188,81
86,59,163,84
87,57,162,101
88,58,168,96
89,56,178,99
90,56,164,97
91,55,164,95
92,55,179,97
93,59,173,97
94,51,165,108
95,50,193,102
96,53,189,94
97,47,195,88
98,43,194,82
99,47,185,82
100,50,178,98
101,50,190,91
102,50,179,95
103,47,186,92
104,48,204,90
105,47,189,92
106,47,198,94
107,45,179,87
108,45,173,88
109,48,182,92
110,46,180,102
111,48,193,87
112,51,186,80
113,54,199,88
114,52,198,82
115,58,213,88
116,62,191,93
117,64,172,88
118,64,165,92
119,68,145,99
120,74,137,97
121,69,129,103
122,67,139,101
123,66,140,113
124,63,131,110
125,70,133,116
126,67,144,122
127,62,122,111
128,63,134,101
129,63,156,109
130,60,155,102
131,61,154,101
132,60,170,102
133,57,157,97
134,58,157,100
135,50,176,106
136,52,175,106
137,49,165,105
138,45,177,108
139,46,174,110
140,52,149,120
141,48,171,108
142,48,186,105
143,49,190,99
144,52,181,92
145,54,195,96
146,56,184,92
147,51,194,83
148,49,193,85
149,48,203,81
150,50,201,75
151,54,230,88
152,60,224,77
153,58,209,88
154,53,178,88
155,57,167,98
156,60,171,109
157,65,154,101
158,62,149,101
159,62,149,107
160,68,146,110
161,63,139,107
162,62,154,110
163,62,161,100
164,63,174,107
165,57,199,103
166,61,207,101
167,59,208,96
168,58,222,93
169,58,230,91
170,57,195,87
171,53,178,82
172,51,193,87
173,53,188,89
174,55,164,90
175,60,155,86
176,62,171,97
177,61,162,99
178,61,163,107
179,64,151,115
180,56,165,116
181,54,157,119
182,56,146,115
183,58,156,117
184,56,160,111
185,54,167,113
186,51,171,108
187,52,172,111
188,45,177,102
189,41,184,100
190,47,194,102
191,45,204,99
192,34,196,102
193,36,206,106
194,35,210,104
195,31,259,98
196,28,257,91
197,31,254,86
198,32,250,78
199,32,239,74
200,34,239,63
201,35,236,67
202,30,220,66
203,33,231,71
204,35,236,66
205,38,227,67
206,42,192,78
207,42,188,81
208,43,192,93
209,42,197,90
210,45,208,98
211,48,201,95
212,49,230,105
213,56,221,84
214,54,231,81
215,54,232,68
216,58,217,72
217,63,215,70
218,65,233,66
219,63,227,70
220,62,232,60
221,65,200,74
222,66,166,79
223,67,161,90
224,64,145,86
225,68,142,108
226,67,156,112
227,68,160,110
228,62,144,108
229,58,138,104
230,66,165,113
231,72,172,109
232,79,149,117
233,71,137,103
234,58,131,107
235,57,139,108
236,60,130,114
237,60,136,110
238,62,136,118
239,63,133,123
240,61,128,123
241,59,134,129
242,58,132,117
243,61,139,121
244,55,148,120
245,56,151,123
246,52,164,119
247,52,157,122
248,49,163,120
249,49,183,114
250,53,195,97
251,50,205,107
252,48,199,106
253,48,198,100
254,48,180,108
255,50,173,106
256,54,167,104
257,50,167,105
258,47,174,101
259,42,175,93
260,43,184,92
261,43,187,101
262,47,197,106
263,47,193,104
264,49,193,108
265,46,184,108
266,47,179,109
267,35,176,113
268,34,177,109
269,33,176,107
270,34,183,99
271,35,192,99
272,36,215,84
273,36,222,81
274,34,227,78
275,37,242,74
276,38,259,66
277,38,275,66
278,42,265,68
279,44,256,62
280,46,216,64
281,50,212,67
282,53,193,81
283,49,187,89
284,50,178,110
285,51,176,100
286,58,170,103
287,57,175,99
288,58,187,98
289,61,198,98
290,63,186,93
291,66,162,87
292,71,185,92
293,70,170,97
294,72,177,95
295,68,173,92
296,73,162,91
297,65,141,110
298,64,132,118
299,62,123,112
300,60,126,123
