,Wolves,Sheep,Grass
0,19,59,0
1,32,71,0
2,34,82,0
3,29,89,0
4,26,98,0
5,17,113,0
6,8,131,0
7,13,148,0
8,16,168,0
9,26,183,0
10,29,202,0
11,38,225,0
12,57,256,0
13,42,288,0
14,57,327,0
15,77,358,0
16,110,386,0
17,145,419,0
18,175,447,0
19,219,446,0
20,282,440,0
21,323,426,0
22,401,374,0
23,483,314,0
24,542,242,0
25,560,162,0
26,466,102,0
27,389,42,0
28,319,24,0
29,150,20,0
30,43,22,0
31,9,29,0
32,2,41,0
33,0,46,0
34,0,56,0
35,0,66,0
36,0,81,0
37,0,91,0
38,0,110,0
39,0,129,0
40,0,150,0
41,0,175,0
42,0,203,0
43,0,232,0
44,0,276,0
45,0,319,0
46,0,370,0
47,0,442,0
48,0,511,0
49,0,610,0
50,0,736,0
51,0,881,0
52,0,1050,0
53,0,1221,0
54,0,1418,0
55,0,1664,0
56,0,1939,0
57,0,2282,0
58,0,2654,0
59,0,3068,0
60,0,3593,0
61,0,4192,0
62,0,4902,0
63,0,5718,0
64,0,6747,0
65,0,7883,0
66,0,9233,0
67,0,10813,0
