,Wolves,Sheep,Grass
0,10,21,205
1,9,28,216
2,10,37,219
3,9,52,226
4,11,75,227
5,12,105,214
6,11,130,191
7,11,162,171
8,11,192,146
9,11,206,131
10,13,241,108
11,15,264,81
12,18,280,62
13,18,294,43
14,19,283,30
15,20,292,33
16,21,270,34
17,20,208,36
18,23,160,54
19,24,156,78
20,29,134,93
21,31,107,112
22,33,99,127
23,34,115,144
24,34,121,161
25,35,127,169
26,37,160,162
27,40,174,150
28,43,193,116
29,45,198,98
30,46,220,82
31,49,216,65
32,50,232,60
33,52,203,58
34,55,176,60
35,58,148,61
36,62,142,67
37,69,123,79
38,71,93,88
39,80,99,112
40,89,114,127
41,91,104,151
42,95,91,158
43,98,93,171
44,104,92,183
45,106,85,172
46,114,78,173
47,121,79,174
48,128,88,166
49,140,99,158
50,140,107,156
51,143,95,152
52,145,82,145
53,149,72,150
54,148,74,151
55,151,62,159
56,158,52,160
57,169,41,159
58,177,37,180
59,184,38,192
60,178,31,193
61,176,27,206
62,181,32,218
63,182,31,225
64,177,26,242
65,175,22,252
66,178,21,257
67,181,19,269
68,182,17,279
69,190,13,288
70,179,10,296
71,186,11,301
72,176,13,305
73,177,16,312
74,174,17,316
75,171,22,319
76,169,28,320
77,166,24,314
78,167,27,317
79,158,37,320
80,153,43,317
81,140,35,305
82,137,40,296
83,141,49,288
84,137,48,279
85,127,51,266
86,122,51,264
87,118,42,266
88,120,38,265
89,120,35,262
90,110,35,265
91,112,34,263
92,111,29,261
93,115,31,258
94,110,29,264
95,110,27,271
96,102,24,275
97,97,29,281
98,102,40,285
99,106,47,282
100,106,54,276
101,107,55,271
102,100,47,265
103,103,56,261
104,103,53,260
105,107,40,256
106,107,46,255
107,116,41,253
108,124,45,245
109,123,41,238
110,127,46,232
111,123,52,229
112,124,56,220
113,125,62,212
114,130,62,201
115,124,72,198
116,130,81,178
117,132,91,173
118,130,110,172
119,127,102,162
120,128,99,159
121,140,86,153
122,140,78,150
123,137,98,148
124,144,78,145
125,152,87,146
126,156,82,149
127,165,75,160
128,177,70,161
129,183,73,175
130,183,63,177
131,179,45,171
132,184,41,181
133,188,50,184
134,202,39,195
135,198,35,207
136,206,28,207
137,201,21,219
138,197,24,232
139,200,23,240
140,208,26,242
141,216,25,253
142,204,26,261
143,202,25,264
144,196,23,273
145,191,20,279
146,193,22,286
147,191,13,289
148,180,15,291
149,160,15,301
150,152,14,302
151,151,14,304
152,144,15,310
153,133,18,316
154,134,18,313
155,137,17,312
156,146,23,316
157,141,23,319
158,126,24,309
159,132,27,306
160,129,30,305
161,135,34,302
162,122,41,295
163,116,46,284
164,112,49,274
165,110,45,263
166,99,50,253
167,99,57,247
168,104,58,236
169,112,71,226
170,112,74,220
171,120,77,219
172,107,82,212
173,111,97,199
174,106,106,184
175,108,132,184
176,107,119,175
177,113,107,171
178,119,117,173
179,121,92,168
180,122,86,166
181,123,82,167
182,122,67,167
183,120,71,162
184,120,79,162
185,129,71,156
186,131,72,156
187,130,73,158
188,135,69,153
189,137,69,165
190,146,54,170
191,148,48,175
192,151,43,186
193,155,31,192
194,157,38,204
195,166,24,210
196,168,18,218
197,176,11,228
198,176,14,245
199,179,13,260
200,179,16,277
201,178,20,289
202,179,25,294
203,176,25,297
204,168,30,294
205,155,40,291
206,147,42,286
207,139,49,283
208,137,46,278
209,137,47,275
210,130,38,272
211,117,39,267
212,117,43,265
213,116,37,260
214,115,41,254
215,109,36,250
216,105,35,253
217,112,39,254
218,111,46,252
219,110,50,254
220,114,51,250
221,117,59,253
222,122,45,253
223,119,47,254
224,128,43,249
225,128,40,250
226,120,24,253
227,126,26,258
228,114,32,263
229,115,34,262
230,119,29,262
231,117,36,267
232,125,36,269
233,136,49,265
234,147,57,254
235,139,67,251
236,124,73,243
237,123,75,237
238,126,86,226
239,135,101,211
240,126,94,186
241,130,87,169
242,133,90,165
243,126,81,158
244,130,76,153
245,129,76,152
246,128,63,162
247,131,58,173
248,129,56,180
249,123,53,182
250,121,46,186
251,125,49,197
252,136,46,204
253,136,50,218
254,132,51,227
255,133,54,229
256,132,42,231
257,137,50,233
258,152,48,232
259,152,54,231
260,155,48,234
261,152,44,229
262,140,40,227
263,144,33,229
264,152,35,224
265,160,34,225
266,173,33,228
267,173,30,232
268,179,31,238
269,176,30,247
270,176,29,250
271,180,37,255
272,170,35,247
273,171,33,243
274,170,35,241
275,162,39,242
276,164,46,238
277,172,48,234
278,175,55,233
279,179,51,234
280,181,45,229
281,175,32,220
282,167,40,211
283,170,46,209
284,170,45,199
285,162,51,204
286,165,54,204
287,163,60,208
288,157,53,208
289,157,49,214
290,155,50,213
291,146,50,215
292,141,47,212
293,145,59,215
294,149,65,216
295,152,66,217
296,146,58,216
297,157,56,222
298,158,50,224
299,159,47,226
300,162,37,228
