,Wolves,Sheep,Grass
0,39,40,192
1,67,43,203
2,111,45,220
3,176,53,222
4,241,53,236
5,289,45,246
6,343,42,255
7,345,34,266
8,392,25,274
9,409,20,282
10,369,14,299
11,361,13,313
12,309,13,326
13,243,16,341
14,150,19,344
15,98,27,349
16,76,35,353
17,67,32,346
18,74,36,343
19,65,39,341
20,101,41,333
21,77,39,332
22,82,39,327
23,110,49,324
24,134,44,323
25,139,40,313
26,166,44,305
27,217,32,298
28,242,40,292
29,278,43,284
30,290,51,278
31,251,61,271
32,231,73,268
33,198,78,270
34,208,88,277
35,199,93,274
36,200,90,271
37,270,83,269
38,316,68,268
39,384,63,267
40,392,73,262
41,419,80,256
42,365,70,249
43,391,72,256
44,378,67,261
45,324,67,265
46,367,49,267
47,360,34,270
48,392,25,276
49,469,20,291
50,504,20,302
51,395,17,307
52,314,13,315
53,210,15,330
54,143,18,340
55,108,23,343
56,102,26,348
57,63,28,346
58,64,31,345
59,32,37,348
60,36,42,341
61,53,53,333
62,74,58,329
63,73,66,320
64,78,68,304
65,94,74,293
66,107,94,279
67,126,110,275
68,150,113,265
69,171,122,255
70,208,113,247
71,233,123,252
72,299,106,238
73,395,97,239
74,438,83,235
75,511,89,242
76,588,78,248
77,665,66,254
78,561,54,255
79,548,40,279
80,575,27,291
81,540,19,304
82,456,17,312
83,397,16,324
84,222,14,337
85,222,8,350
86,193,8,358
87,167,8,364
88,155,7,368
89,109,9,375
90,66,9,379
91,51,6,380
92,40,7,379
93,50,8,381
94,47,6,379
95,25,6,380
96,34,6,378
97,53,4,377
98,54,4,379
99,57,5,382
100,33,9,377
101,18,12,376
102,20,17,375
103,22,24,375
104,5,26,371
105,10,26,363
106,5,32,355
107,8,41,349
108,14,54,335
109,22,61,323
110,33,78,304
111,40,83,294
112,51,96,282
113,54,111,269
114,77,140,255
115,97,164,241
116,120,181,224
117,167,177,207
118,258,141,196
119,333,144,192
120,450,163,187
121,545,151,191
122,540,150,203
123,546,127,207
124,515,93,223
125,621,98,233
126,701,108,242
127,634,103,252
128,544,88,256
129,441,75,266
130,446,33,284
131,470,23,303
132,468,15,313
133,479,13,325
134,422,9,340
135,368,6,354
136,223,4,362
137,185,0,369
138,158,0,374
139,103,0,382
140,76,0,386
141,42,0,390
142,22,0,393
143,4,0,396
144,0,0,400
145,0,0,400
146,0,0,400
147,0,0,400
148,0,0,400
149,0,0,400
150,0,0,400
151,0,0,400
152,0,0,400
153,0,0,400
154,0,0,400
155,0,0,400
156,0,0,400
157,0,0,400
158,0,0,400
159,0,0,400
160,0,0,400
161,0,0,400
162,0,0,400
163,0,0,400
164,0,0,400
165,0,0,400
166,0,0,400
167,0,0,400
168,0,0,400
169,0,0,400
170,0,0,400
171,0,0,400
172,0,0,400
173,0,0,400
174,0,0,400
175,0,0,400
176,0,0,400
177,0,0,400
178,0,0,400
179,0,0,400
180,0,0,400
181,0,0,400
182,0,0,400
183,0,0,400
184,0,0,400
185,0,0,400
186,0,0,400
187,0,0,400
188,0,0,400
189,0,0,400
190,0,0,400
191,0,0,400
192,0,0,400
193,0,0,400
194,0,0,400
195,0,0,400
196,0,0,400
197,0,0,400
198,0,0,400
199,0,0,400
200,0,0,400
201,0,0,400
202,0,0,400
203,0,0,400
204,0,0,400
205,0,0,400
206,0,0,400
207,0,0,400
208,0,0,400
209,0,0,400
210,0,0,400
211,0,0,400
212,0,0,400
213,0,0,400
214,0,0,400
215,0,0,400
216,0,0,400
217,0,0,400
218,0,0,400
219,0,0,400
220,0,0,400
221,0,0,400
222,0,0,400
223,0,0,400
224,0,0,400
225,0,0,400
226,0,0,400
227,0,0,400
228,0,0,400
229,0,0,400
230,0,0,400
231,0,0,400
232,0,0,400
233,0,0,400
234,0,0,400
235,0,0,400
236,0,0,400
237,0,0,400
238,0,0,400
239,0,0,400
240,0,0,400
241,0,0,400
242,0,0,400
243,0,0,400
244,0,0,400
245,0,0,400
246,0,0,400
247,0,0,400
248,0,0,400
249,0,0,400
250,0,0,400
251,0,0,400
252,0,0,400
253,0,0,400
254,0,0,400
255,0,0,400
256,0,0,400
257,0,0,400
258,0,0,400
259,0,0,400
260,0,0,400
261,0,0,400
262,0,0,400
263,0,0,400
264,0,0,400
265,0,0,400
266,0,0,400
267,0,0,400
268,0,0,400
269,0,0,400
270,0,0,400
271,0,0,400
272,0,0,400
273,0,0,400
274,0,0,400
275,0,0,400
276,0,0,400
277,0,0,400
278,0,0,400
279,0,0,400
280,0,0,400
281,0,0,400
282,0,0,400
283,0,0,400
284,0,0,400
285,0,0,400
286,0,0,400
287,0,0,400
288,0,0,400
289,0,0,400
290,0,0,400
291,0,0,400
292,0,0,400
293,0,0,400
294,0,0,400
295,0,0,400
296,0,0,400
297,0,0,400
298,0,0,400
299,0,0,400
300,0,0,400
