,Wolves,Sheep,Grass
0,26,47,197
1,38,48,193
2,55,47,190
3,73,47,191
4,80,41,195
5,94,39,209
6,98,37,214
7,106,33,213
8,87,32,218
9,88,32,232
10,85,26,231
11,83,28,241
12,84,28,255
13,69,23,256
14,58,25,265
15,57,22,266
16,56,28,273
17,52,35,275
18,56,35,276
19,37,38,279
20,28,42,272
21,27,38,267
22,22,42,259
23,17,45,250
24,19,45,252
25,14,45,249
26,17,47,251
27,19,52,240
28,24,61,231
29,32,63,226
30,32,71,219
31,25,75,217
32,30,84,204
33,33,87,201
34,43,90,208
35,54,88,197
36,53,81,184
37,54,83,176
38,69,79,181
39,87,73,180
40,84,79,177
41,90,76,174
42,83,81,173
43,91,78,181
44,77,76,178
45,76,79,177
46,86,87,183
47,94,77,186
48,114,73,182
49,106,70,177
50,117,70,179
51,107,72,177
52,116,68,175
53,113,67,176
54,125,65,178
55,119,55,186
56,117,51,190
57,125,52,198
58,132,54,208
59,130,51,221
60,105,45,231
61,113,43,237
62,120,30,247
63,106,28,260
64,119,22,269
65,137,15,279
66,118,12,286
67,108,7,292
68,111,9,297
69,122,7,307
70,99,5,313
71,64,4,319
72,49,6,330
73,25,6,338
74,21,7,343
75,17,8,351
76,5,10,358
77,6,10,362
78,0,13,362
79,0,17,358
80,0,20,353
81,0,22,345
82,0,23,338
83,0,25,325
84,0,28,318
85,0,32,313
86,0,37,301
87,0,48,290
88,0,58,275
89,0,62,260
90,0,68,255
91,0,76,244
92,0,83,238
93,0,87,221
94,0,103,219
95,0,113,204
96,0,114,177
97,0,114,168
98,0,125,156
99,0,134,144
100,0,143,133
101,0,148,120
102,0,157,122
103,0,163,115
104,0,177,123
105,0,191,105
106,0,195,101
107,0,209,111
108,0,211,98
109,0,222,89
110,0,234,84
111,0,220,80
112,0,220,74
113,0,245,64
114,0,256,67
115,0,257,65
116,0,234,70
117,0,239,79
118,0,242,78
119,0,233,86
120,0,227,82
121,0,230,84
122,0,235,88
123,0,232,88
124,0,237,79
125,0,238,73
126,0,246,69
127,0,250,71
128,0,248,64
129,0,239,71
130,0,241,70
131,0,241,84
132,0,232,84
133,0,236,80
134,0,224,84
135,0,218,92
136,0,217,87
137,0,203,79
138,0,199,83
139,0,212,79
140,0,206,66
141,0,227,76
142,0,228,75
143,0,210,80
144,0,218,91
145,0,210,89
146,0,201,87
147,0,210,92
148,0,210,99
149,0,218,87
150,0,203,95
151,0,200,95
152,0,196,87
153,0,195,90
154,0,200,86
155,0,195,78
156,0,200,79
157,0,205,74
158,0,216,78
159,0,223,77
160,0,226,87
161,0,233,74
162,0,246,71
163,0,246,70
164,0,244,66
165,0,235,68
166,0,229,69
167,0,229,71
168,0,219,80
169,0,222,76
170,0,222,75
171,0,212,75
172,0,204,83
173,0,208,89
174,0,208,87
175,0,216,84
176,0,207,87
177,0,217,90
178,0,222,86
179,0,224,79
180,0,223,75
181,0,227,73
182,0,226,69
183,0,221,75
184,0,224,82
185,0,228,82
186,0,230,76
187,0,230,79
188,0,234,78
189,0,231,82
190,0,229,83
191,0,230,88
192,0,227,84
193,0,230,85
194,0,216,73
195,0,209,65
196,0,211,67
197,0,221,74
198,0,220,81
199,0,219,78
200,0,225,79
201,0,240,80
202,0,208,71
203,0,195,83
204,0,191,83
205,0,206,89
206,0,202,86
207,0,205,89
208,0,212,91
209,0,210,73
210,0,203,82
211,0,194,83
212,0,201,89
213,0,196,95
214,0,196,88
215,0,195,94
216,0,205,91
217,0,204,90
218,0,207,84
219,0,202,84
220,0,188,92
221,0,204,78
222,0,210,75
223,0,217,72
224,0,239,73
225,0,247,74
226,0,234,66
227,0,237,78
228,0,221,90
229,0,211,88
230,0,195,86
231,0,200,87
232,0,204,96
233,0,197,89
234,0,208,85
235,0,224,74
236,0,235,69
237,0,248,74
238,0,267,60
239,0,267,61
240,0,259,70
241,0,244,62
242,0,233,62
243,0,222,61
244,0,212,72
245,0,213,70
246,0,214,87
247,0,210,90
248,0,226,82
249,0,220,87
250,0,216,79
251,0,227,76
252,0,234,78
253,0,222,77
254,0,224,82
255,0,224,79
256,0,212,82
257,0,213,68
258,0,222,75
259,0,229,87
260,0,230,82
261,0,218,85
262,0,233,77
263,0,228,88
264,0,224,79
265,0,237,72
266,0,235,80
267,0,264,78
268,0,246,86
269,0,240,71
270,0,225,58
271,0,217,68
272,0,219,79
273,0,220,88
274,0,213,73
275,0,210,87
276,0,203,82
277,0,198,67
278,0,196,72
279,0,203,73
280,0,210,80
281,0,219,82
282,0,212,76
283,0,223,66
284,0,228,66
285,0,233,80
286,0,229,75
287,0,222,86
288,0,222,91
289,0,205,89
290,0,211,87
291,0,211,86
292,0,212,88
293,0,214,80
294,0,224,72
295,0,239,73
296,0,242,68
297,0,230,70
298,0,216,70
299,0,220,67
300,0,236,72
