,Wolves,Sheep,Grass
0,4,78,203
1,4,65,192
2,4,54,184
3,8,50,173
4,0,44,173
5,0,34,178
6,0,28,181
7,0,26,184
8,0,22,187
9,0,17,185
10,0,14,194
11,0,14,195
12,0,14,206
13,0,11,222
14,0,11,239
15,0,11,269
16,0,10,291
17,0,10,304
18,0,9,312
19,0,8,318
20,0,7,320
21,0,8,324
22,0,6,329
23,0,9,339
24,0,8,345
25,0,8,348
26,0,6,345
27,0,6,345
28,0,6,348
29,0,6,351
30,0,6,353
31,0,6,353
32,0,6,354
33,0,6,356
34,0,6,355
35,0,6,355
36,0,6,355
37,0,6,353
38,0,6,350
39,0,6,351
40,0,6,351
41,0,6,351
42,0,7,349
43,0,7,351
44,0,7,352
45,0,7,353
46,0,6,354
47,0,6,353
48,0,5,355
49,0,5,358
50,0,5,358
51,0,5,358
52,0,6,358
53,0,6,358
54,0,6,361
55,0,6,360
56,0,6,361
57,0,6,360
58,0,6,359
59,0,5,360
60,0,5,358
61,0,5,361
62,0,5,362
63,0,5,360
64,0,5,361
65,0,5,361
66,0,4,363
67,0,4,363
68,0,4,360
69,0,4,360
70,0,4,359
71,0,4,359
72,0,4,359
73,0,4,359
74,0,4,362
75,0,4,359
76,0,4,357
77,0,4,358
78,0,5,356
79,0,5,355
80,0,5,353
81,0,5,353
82,0,5,356
83,0,5,357
84,0,5,359
85,0,6,361
86,0,6,358
87,0,7,359
88,0,7,358
89,0,8,358
90,0,7,358
91,0,7,356
92,0,7,358
93,0,7,357
94,0,7,359
95,0,7,357
96,0,7,355
97,0,8,355
98,0,7,354
99,0,7,350
100,0,6,353
101,0,7,354
102,0,7,354
103,0,6,353
104,0,6,354
105,0,6,356
106,0,7,356
107,0,7,358
108,0,7,359
109,0,8,361
110,0,8,360
111,0,8,357
112,0,8,357
113,0,8,359
114,0,7,357
115,0,7,355
116,0,7,355
117,0,7,357
118,0,7,357
119,0,8,357
120,0,8,354
121,0,8,355
122,0,6,354
123,0,6,352
124,0,7,352
125,0,7,353
126,0,7,352
127,0,7,351
128,0,7,351
129,0,7,349
130,0,7,345
131,0,7,346
132,0,8,345
133,0,8,346
134,0,6,350
135,0,5,350
136,0,5,348
137,0,6,351
138,0,6,352
139,0,6,356
140,0,6,354
141,0,6,352
142,0,6,351
143,0,6,353
144,0,6,355
145,0,6,354
146,0,6,355
147,0,7,354
148,0,7,352
149,0,7,351
150,0,6,353
151,0,6,352
152,0,6,351
153,0,6,347
154,0,6,350
155,0,6,352
156,0,6,352
157,0,6,351
158,0,6,351
159,0,7,351
160,0,7,352
161,0,6,352
162,0,6,352
163,0,6,352
164,0,6,353
165,0,6,353
166,0,6,353
167,0,6,354
168,0,6,356
169,0,7,357
170,0,7,359
171,0,7,359
172,0,7,358
173,0,7,356
174,0,7,355
175,0,7,352
176,0,7,353
177,0,7,352
178,0,8,351
179,0,8,349
180,0,8,350
181,0,8,350
182,0,9,348
183,0,9,347
184,0,9,346
185,0,10,346
186,0,10,345
187,0,10,342
188,0,10,340
189,0,10,339
190,0,10,337
191,0,10,334
192,0,10,334
193,0,10,335
194,0,10,332
195,0,10,329
196,0,10,325
197,0,11,323
198,0,11,321
199,0,12,318
200,0,12,318
201,0,11,319
202,0,11,318
203,0,12,322
204,0,12,323
205,0,12,324
206,0,12,320
207,0,11,318
208,0,12,319
209,0,11,322
210,0,12,326
211,0,12,326
212,0,13,328
213,0,10,330
214,0,11,330
215,0,10,333
216,0,11,333
217,0,12,330
218,0,11,326
219,0,11,325
220,0,11,328
221,0,11,331
222,0,12,333
223,0,13,330
224,0,10,327
225,0,10,329
226,0,10,328
227,0,10,330
228,0,10,330
229,0,12,326
230,0,11,326
231,0,11,328
232,0,11,328
233,0,11,329
234,0,11,327
235,0,11,327
236,0,12,324
237,0,13,322
238,0,13,320
239,0,13,317
240,0,14,311
241,0,14,309
242,0,14,310
243,0,14,311
244,0,14,312
245,0,13,311
246,0,13,311
247,0,13,309
248,0,12,307
249,0,13,303
250,0,13,302
251,0,13,304
252,0,12,305
253,0,12,305
254,0,12,310
255,0,11,308
256,0,11,308
257,0,11,310
258,0,11,306
259,0,11,307
260,0,11,310
261,0,10,312
262,0,9,315
263,0,8,316
264,0,8,320
265,0,9,325
266,0,10,327
267,0,10,332
268,0,11,335
269,0,11,337
270,0,11,337
271,0,12,335
272,0,12,338
273,0,9,339
274,0,9,339
275,0,9,341
276,0,10,341
277,0,8,342
278,0,8,341
279,0,8,336
280,0,8,338
281,0,8,334
282,0,7,334
283,0,7,335
284,0,7,337
285,0,6,339
286,0,6,342
287,0,7,342
288,0,6,342
289,0,6,343
290,0,6,343
291,0,7,345
292,0,8,345
293,0,8,348
294,0,7,347
295,0,7,349
296,0,7,351
297,0,7,350
298,0,7,350
299,0,7,351
300,0,7,350
