,Wolves,Sheep,Grass
0,18,69,201
1,23,66,187
2,23,69,173
3,27,68,171
4,29,69,188
5,30,67,192
6,35,68,194
7,38,68,203
8,40,62,209
9,41,61,226
10,42,56,233
11,43,59,233
12,46,55,232
13,50,61,236
14,47,55,240
15,49,56,237
16,55,54,235
17,55,52,235
18,59,52,234
19,57,42,233
20,58,38,235
21,59,38,231
22,53,38,239
23,55,38,246
24,58,37,258
25,60,38,263
26,58,42,270
27,57,40,281
28,64,38,284
29,68,33,286
30,76,30,285
31,76,27,285
32,83,22,283
33,88,21,289
34,88,24,290
35,93,24,293
36,89,20,293
37,94,24,300
38,89,23,301
39,83,23,301
40,80,17,305
41,82,16,308
42,80,17,314
43,69,15,314
44,61,14,317
45,62,12,322
46,55,11,327
47,52,10,332
48,55,10,338
49,55,9,342
50,55,8,345
51,55,10,354
52,55,10,358
53,57,10,357
54,60,10,356
55,52,10,358
56,49,11,355
57,45,11,356
58,36,11,352
59,39,11,345
60,37,12,345
61,38,11,341
62,34,12,343
63,35,10,344
64,33,10,347
65,27,10,344
66,28,11,347
67,31,11,351
68,35,10,350
69,34,11,354
70,34,13,350
71,33,11,347
72,33,11,347
73,33,11,349
74,25,10,346
75,23,11,344
76,23,12,347
77,21,16,349
78,22,17,348
79,23,19,346
80,23,18,343
81,28,19,341
82,31,22,339
83,21,24,332
84,21,22,323
85,24,23,320
86,21,23,319
87,17,20,316
88,18,20,316
89,16,19,314
90,18,21,310
91,16,20,313
92,17,21,316
93,19,23,313
94,21,23,312
95,24,23,318
96,24,22,314
97,25,20,312
98,26,23,314
99,26,23,315
100,18,24,319
101,19,23,322
102,22,25,325
103,22,27,321
104,18,32,321
105,20,32,321
106,21,33,319
107,21,36,316
108,22,39,308
109,20,38,299
110,20,37,297
111,16,37,298
112,14,40,295
113,17,38,296
114,15,36,296
115,16,39,290
116,14,41,290
117,16,47,293
118,17,50,284
119,19,51,277
120,19,51,277
121,20,51,272
122,17,50,268
123,18,51,269
124,18,45,268
125,18,46,263
126,19,44,264
127,19,46,266
128,21,45,264
129,22,47,262
130,24,49,256
131,27,52,255
132,33,55,249
133,35,57,248
134,39,57,245
135,42,55,239
136,39,52,233
137,36,53,234
138,35,48,243
139,38,44,244
140,40,45,246
141,41,41,247
142,45,42,248
143,48,38,253
144,49,43,262
145,46,43,262
146,42,45,255
147,47,47,257
148,51,43,258
149,54,40,261
150,59,40,267
151,49,34,266
152,49,34,267
153,50,32,271
154,55,30,274
155,65,30,276
156,64,27,280
157,66,23,282
158,71,24,283
159,75,24,288
160,70,24,286
161,71,24,285
162,71,21,289
163,70,20,293
164,80,15,301
165,77,14,312
166,72,15,318
167,64,14,326
168,67,12,335
169,69,13,340
170,68,15,347
171,63,18,346
172,62,18,345
173,58,14,343
174,57,16,346
175,55,15,343
176,48,14,340
177,52,14,339
178,53,12,339
179,58,14,343
180,52,11,343
181,50,11,341
182,49,13,341
183,48,14,343
184,44,14,348
185,37,14,348
186,32,15,348
187,26,14,349
188,27,16,355
189,23,15,355
190,20,15,354
191,18,16,352
192,20,14,350
193,21,18,355
194,19,18,350
195,21,21,348
196,20,22,345
197,23,20,342
198,23,20,338
199,24,23,340
200,24,24,337
201,22,29,327
202,25,32,324
203,24,32,314
204,21,30,306
205,20,27,305
206,20,29,303
207,21,30,295
208,19,34,296
209,19,35,294
210,23,30,292
211,24,29,294
212,24,29,290
213,25,29,289
214,22,28,290
215,24,27,294
216,27,28,288
217,26,32,291
218,27,31,293
219,26,34,291
220,26,33,290
221,26,34,286
222,24,37,280
223,26,39,274
224,27,40,271
225,31,45,265
226,32,41,261
227,31,40,262
228,34,40,264
229,33,43,260
230,33,41,260
231,35,43,256
232,35,40,246
233,36,40,248
234,32,40,246
235,29,41,242
236,30,43,236
237,33,43,235
238,35,44,238
239,37,48,239
240,38,53,250
241,41,52,248
242,43,49,249
243,45,46,245
244,45,41,256
245,50,39,258
246,44,42,253
247,45,43,257
248,45,39,255
249,46,40,255
250,43,39,260
251,45,37,267
252,45,38,261
253,46,39,262
254,48,41,266
255,52,43,266
256,52,44,266
257,50,45,269
258,54,50,263
259,53,51,260
260,55,53,260
261,61,49,256
262,62,50,251
263,62,45,243
264,68,43,239
265,70,40,243
266,69,36,244
267,67,38,254
268,72,38,259
269,74,31,266
270,75,27,273
271,73,25,281
272,77,26,293
273,82,25,289
274,83,24,298
275,93,19,294
276,91,18,297
277,100,17,301
278,97,13,298
279,93,11,304
280,96,11,312
281,90,13,321
282,87,11,327
283,82,13,334
284,76,15,340
285,73,11,342
286,72,13,353
287,75,14,356
288,76,15,349
289,68,15,348
290,62,12,344
291,61,13,345
292,60,10,340
293,48,10,346
294,48,9,345
295,45,11,346
296,44,10,349
297,45,9,354
298,51,9,360
299,41,10,362
300,43,9,365
