,Wolves,Sheep,Grass
0,34,10,197
1,33,9,210
2,32,4,226
3,32,7,237
4,31,6,250
5,28,7,256
6,25,8,271
7,24,5,289
8,22,9,300
9,20,5,308
10,18,8,319
11,18,6,327
12,17,8,342
13,16,10,359
14,16,14,357
15,15,19,352
16,14,16,346
17,14,15,346
18,12,8,341
19,9,12,336
20,9,17,330
21,9,24,317
22,8,28,309
23,8,36,297
24,7,38,291
25,7,31,278
26,7,31,270
27,7,29,268
28,7,21,266
29,7,23,268
30,6,20,263
31,5,21,262
32,5,20,259
33,4,20,262
34,3,22,268
35,3,19,269
36,3,25,272
37,4,28,270
38,4,26,271
39,4,36,272
40,4,37,265
41,3,28,262
42,3,20,259
43,3,27,259
44,3,32,258
45,2,26,255
46,2,25,248
47,2,31,247
48,2,24,246
49,2,26,253
50,2,10,259
51,3,12,266
52,3,14,272
53,3,17,277
54,3,18,281
55,3,19,282
56,3,21,284
57,3,17,286
58,3,14,293
59,3,17,300
60,3,18,300
61,3,25,297
62,3,25,294
63,2,22,293
64,2,26,289
65,2,29,283
66,2,26,281
67,2,27,280
68,2,24,278
69,2,25,274
70,2,22,272
71,2,22,265
72,2,25,261
73,2,28,255
74,2,31,255
75,3,32,255
76,3,26,252
77,3,19,256
78,3,17,260
79,2,15,265
80,2,17,265
81,2,19,270
82,1,19,275
83,1,16,278
84,1,16,283
85,1,20,288
86,1,15,295
87,1,16,302
88,1,15,304
89,1,15,309
90,1,22,309
91,1,22,310
92,1,14,310
93,1,12,314
94,1,14,317
95,1,9,318
96,1,14,322
97,1,9,327
98,1,5,331
99,1,2,339
100,1,2,344
101,1,2,349
102,1,3,353
103,1,3,359
104,1,3,363
105,1,5,368
106,1,8,371
107,1,7,370
108,1,11,372
109,1,17,366
110,1,17,364
111,1,16,358
112,1,15,349
113,1,20,344
114,1,21,336
115,0,21,329
116,0,13,325
117,0,18,322
118,0,18,312
119,0,17,308
120,0,14,308
121,0,12,308
122,0,13,311
123,0,7,315
124,0,7,318
125,0,8,325
126,0,4,330
127,0,3,339
128,0,1,348
129,0,2,353
130,0,2,358
131,0,4,368
132,0,5,371
133,0,3,373
134,0,4,374
135,0,6,375
136,0,10,373
137,0,9,371
138,0,16,368
139,0,15,361
140,0,18,355
141,0,21,346
142,0,27,338
143,0,23,328
144,0,25,321
145,0,28,311
146,0,24,302
147,0,28,292
148,0,29,283
149,0,33,274
150,0,31,270
151,0,22,264
152,0,27,262
153,0,31,256
154,0,33,253
155,0,32,250
156,0,26,246
157,0,29,240
158,0,32,246
159,0,24,243
160,0,25,246
161,0,21,251
162,0,17,258
163,0,14,261
164,0,17,267
165,0,21,270
166,0,22,272
167,0,18,277
168,0,20,283
169,0,20,294
170,0,13,302
171,0,11,302
172,0,10,311
173,0,14,318
174,0,12,322
175,0,13,321
176,0,19,322
177,0,18,319
178,0,15,319
179,0,11,324
180,0,11,327
181,0,12,328
182,0,10,327
183,0,11,329
184,0,7,333
185,0,6,336
186,0,9,335
187,0,10,335
188,0,11,337
189,0,10,338
190,0,15,339
191,0,20,343
192,0,12,341
193,0,18,337
194,0,18,335
195,0,16,332
196,0,14,330
197,0,12,331
198,0,15,328
199,0,19,324
200,0,15,319
201,0,18,315
202,0,25,309
203,0,25,305
204,0,28,297
205,0,34,293
206,0,34,287
207,0,31,283
208,0,22,282
209,0,25,279
210,0,29,269
211,0,32,264
212,0,31,260
213,0,18,260
214,0,15,261
215,0,14,267
216,0,13,270
217,0,12,278
218,0,17,284
219,0,16,291
220,0,21,295
221,0,19,296
222,0,17,299
223,0,20,303
224,0,18,304
225,0,19,311
226,0,20,313
227,0,15,313
228,0,11,311
229,0,10,314
230,0,13,312
231,0,20,310
232,0,24,303
233,0,22,299
234,0,31,293
235,0,36,281
236,0,40,275
237,0,37,268
238,0,39,262
239,0,34,251
240,0,38,239
241,0,40,229
242,0,39,218
243,0,39,207
244,0,46,195
245,0,41,194
246,0,31,194
247,0,33,196
248,0,34,202
249,0,27,203
250,0,28,209
251,0,30,206
252,0,23,210
253,0,21,219
254,0,21,229
255,0,18,238
256,0,22,245
257,0,29,256
258,0,19,264
259,0,18,268
260,0,24,270
261,0,34,267
262,0,33,264
263,0,35,256
264,0,38,254
265,0,31,250
266,0,36,250
267,0,38,240
268,0,36,238
269,0,37,235
270,0,29,231
271,0,22,227
272,0,24,228
273,0,28,231
274,0,20,234
275,0,20,241
276,0,20,253
277,0,21,258
278,0,26,269
279,0,22,270
280,0,17,279
281,0,16,281
282,0,19,287
283,0,15,292
284,0,18,295
285,0,15,292
286,0,14,292
287,0,18,301
288,0,15,302
289,0,15,302
290,0,17,303
291,0,22,300
292,0,17,300
293,0,12,304
294,0,15,304
295,0,15,303
296,0,14,304
297,0,19,305
298,0,18,307
299,0,23,306
300,0,26,299
